Grambling,28,7,21,.250,-23.05,-12.75,4,14,4,7,2,13,1784,2048,1135,613,1551,.395,166,479,.347,392,570,.688,298,930,315,210,73,438,624,
Green Bay,35,22,13,.629,0.33,0.75,11,7,11,4,9,7,2397,2341,1420,832,1905,.437,234,622,.376,499,680,.734,390,1142,410,213,89,434,649,
Hampton,32,14,18,.438,-6.75,-8.36,8,8,6,6,6,9,2102,2050,1280,725,1708,.424,164,549,.299,488,720,.678,368,1106,385,278,127,496,591,
Hartford,30,8,22,.267,-13.77,-6.04,6,10,5,8,3,13,1868,2100,1205,668,1678,.398,233,678,.344,299,468,.639,297,932,340,181,80,350,659,
Harvard,29,21,8,.724,1.59,-3.91,10,4,11,2,10,6,2145,1928,1180,723,1510,.479,185,512,.361,514,672,.765,272,970,446,228,136,446,540,
Hawaii,30,10,20,.333,-4.91,0.33,3,13,10,11,0,9,2044,2187,1200,707,1640,.431,150,479,.313,480,727,.660,402,1075,415,133,61,429,543,
High Point,30,15,15,.500,-14.63,-9.30,10,8,12,1,3,14,2169,2203,1205,771,1787,.431,196,551,.356,431,627,.687,390,1063,385,205,127,471,648,
Hofstra,34,19,15,.559,1.65,-0.02,10,8,11,6,6,7,2406,2320,1375,859,2102,.409,184,565,.326,482,664,.726,503,1382,466,254,219,469,731,
Holy Cross,31,9,22,.290,-8.03,-5.57,5,9,5,7,3,14,2147,2223,1250,761,1707,.446,161,423,.381,464,662,.701,382,1136,409,134,89,447,551,
Houston,35,19,16,.543,6.74,3.48,7,9,10,5,4,9,2751,2624,1410,958,2282,.420,290,814,.356,545,768,.710,441,1185,435,329,103,315,652,
Howard,32,7,25,.219,-19.49,-7.27,6,10,4,5,2,15,1868,2251,1290,639,1704,.375,178,599,.297,412,696,.592,388,1092,308,140,69,473,537,
Idaho State,29,7,22,.241,-10.29,0.13,4,12,6,6,1,16,1927,2176,1185,705,1555,.453,135,389,.347,382,551,.693,332,926,324,166,80,382,516,
Idaho,31,15,16,.484,-0.19,0.48,6,10,8,6,6,10,2206,2188,1245,791,1703,.464,194,515,.377,430,651,.661,334,1074,459,185,95,432,554,
Illinois-Chicago,30,8,22,.267,-7.58,0.94,3,15,7,7,1,15,1876,2110,1200,654,1691,.387,175,578,.303,393,549,.716,316,982,315,211,74,383,569,
Illinois State,33,22,11,.667,5.73,1.16,11,7,15,2,6,8,2283,2115,1325,794,1776,.447,193,590,.327,502,717,.700,383,1173,433,240,114,429,556,
Illinois,36,21,15,.583,11.58,9.58,10,8,13,5,7,4,2547,2406,1460,957,2127,.450,219,645,.340,414,581,.713,396,1337,570,202,144,443,611,
