,Air Force,32,16,16.1,.500,2.71,3.31,6,10,12,5,3,11,2074,2082,1295,722,1532,.471,212,563,.377,418,593,.705,187,918,494,200,83,385,563.1,Unnamed: 32,62.5,102.6,.387,.367,.572,45.3,68.4,9.9,8.7,.540,17.5,20.4,.273,Unnamed: 13,62.5,103.0,.326,.454,.519,54.7,63.7,8.6,10.3,.482,16.9,34.3,.234,Unnamed: 13
0,Akron,36,23,13,0.639,2.15,-1.02,9,7,14,2,5,9,2524,2365,1465,892,2073,0.43,283,785,0.361,457,649,0.7040000000000001,363,1238,520,240,129,432,692,,67.0,102.9,0.313,0.379,0.53,47.9,58.3,9.8,9.2,0.499,15.4,28.3,0.22,,67.0,96.4,0.38299999999999995,0.302,0.499,52.1,51.1,8.8,6.6,0.46399999999999997,17.8,32.7,0.253,
1,Alabama A&M,28,13,15,0.46399999999999997,-15.19,-11.75,10,8,9,4,4,10,1808,1870,1125,633,1598,0.396,125,434,0.28800000000000003,417,668,0.624,345,1058,339,233,151,443,562,,71.6,89.8,0.418,0.272,0.47200000000000003,48.8,53.6,11.6,13.1,0.435,18.8,31.5,0.261,,71.6,92.9,0.415,0.27699999999999997,0.49,51.2,55.2,11.0,10.1,0.457,19.6,33.6,0.259,
2,Alabama-Birmingham,31,22,9,0.71,8.55,2.78,12,4,13,2,8,5,2119,1940,1270,756,1725,0.43799999999999994,239,698,0.342,368,513,0.7170000000000001,352,1109,420,164,97,387,514,,63.1,105.7,0.297,0.405,0.5379999999999999,51.7,55.6,8.2,8.2,0.508,16.4,33.4,0.213,,63.1,96.8,0.324,0.297,0.49700000000000005,48.3,48.5,9.3,9.9,0.45899999999999996,16.5,30.6,0.228,
3,Alabama State,35,17,18,0.486,-13.37,-10.31,11,7,10,3,4,14,2146,2234,1410,728,1841,0.395,165,583,0.28300000000000003,525,870,0.603,459,1271,404,255,163,547,777,,66.5,91.6,0.473,0.317,0.47600000000000003,50.7,55.5,10.9,13.1,0.44,19.5,35.6,0.285,,66.5,95.3,0.515,0.29600000000000004,0.506,49.3,55.9,11.2,6.8,0.45399999999999996,19.8,33.3,0.35200000000000004,
4,Alabama,37,25,12,0.6759999999999999,11.7,4.27,12,4,19,0,4,6,2473,2198,1490,930,2066,0.45,152,510,0.298,461,652,0.7070000000000001,458,1339,454,351,190,516,675,,65.3,101.6,0.316,0.247,0.52,52.0,48.8,14.4,14.2,0.48700000000000004,17.8,36.8,0.223,,65.3,90.3,0.363,0.32,0.47700000000000004,48.0,50.1,9.1,9.1,0.43700000000000006,20.1,33.8,0.245,
5,Albany (NY),32,16,16,0.5,-7.05,-5.96,9,7,7,6,7,8,2013,2048,1305,724,1707,0.424,238,630,0.37799999999999995,327,507,0.645,375,1155,370,150,90,411,505,,61.0,101.1,0.297,0.369,0.517,51.7,51.1,7.5,8.3,0.494,17.4,35.1,0.192,,61.0,102.9,0.278,0.40399999999999997,0.5,48.3,59.3,10.3,9.8,0.478,14.0,32.9,0.177,
6,Alcorn State,28,4,24,0.14300000000000002,-23.02,-8.02,4,14,2,7,2,17,1838,2258,1125,614,1664,0.369,116,359,0.32299999999999995,494,781,0.633,294,992,255,218,103,474,610,,77.7,84.2,0.469,0.21600000000000003,0.452,43.5,41.5,10.0,8.3,0.40399999999999997,18.9,25.4,0.297,,77.7,103.4,0.42100000000000004,0.309,0.524,56.5,60.4,10.8,10.2,0.49200000000000005,16.5,37.8,0.275,
7,American,31,22,9,0.71,-3.13,-5.64,11,3,10,3,10,5,2051,1973,1260,716,1602,0.447,188,557,0.33799999999999997,431,600,0.718,288,1044,430,127,86,346,558,,61.9,105.2,0.375,0.348,0.5429999999999999,52.4,60.1,6.5,7.6,0.506,15.5,29.8,0.26899999999999996,,61.9,101.2,0.374,0.3,0.519,47.6,51.8,8.7,6.2,0.475,14.4,26.2,0.273,
8,Appalachian State,31,16,15,0.516,-4.81,-2.95,10,8,9,3,6,8,2265,2269,1245,790,1738,0.455,196,582,0.337,489,694,0.705,322,1067,327,179,89,403,541,,68.9,105.5,0.39899999999999997,0.335,0.5479999999999999,49.9,41.4,8.3,7.2,0.511,16.3,30.3,0.281,,68.9,105.7,0.31,0.318,0.5429999999999999,50.1,52.4,9.1,6.7,0.516,15.5,30.6,0.214,
9,Arizona State,31,12,19,0.387,4.3,7.2,4,14,8,7,2,10,1983,2073,1245,719,1674,0.43,240,684,0.35100000000000003,305,486,0.628,290,991,463,196,115,379,574,,64.4,99.0,0.29,0.409,0.521,47.3,64.4,9.8,10.9,0.501,16.6,27.7,0.182,,64.4,103.4,0.39299999999999996,0.359,0.529,52.7,63.0,10.1,10.7,0.491,16.9,33.0,0.27399999999999997,
10,Arizona,38,30,8,0.789,16.54,7.99,14,4,17,0,7,4,2905,2580,1540,969,2064,0.469,296,745,0.397,671,899,0.746,408,1319,536,197,98,484,707,,66.9,112.8,0.436,0.361,0.583,53.1,55.3,7.7,6.5,0.541,16.3,34.0,0.325,,66.9,100.2,0.366,0.28300000000000003,0.52,46.9,52.8,8.7,9.8,0.486,16.1,29.2,0.248,
11,Arkansas-Little Rock,36,19,17,0.528,-4.32,-2.97,7,9,10,5,3,10,2457,2426,1455,825,1938,0.426,242,615,0.39299999999999996,565,819,0.69,377,1204,433,212,89,428,740,,65.4,103.3,0.423,0.317,0.528,48.9,52.5,8.9,7.4,0.488,15.5,29.9,0.292,,65.4,102.0,0.439,0.35200000000000004,0.5379999999999999,51.1,55.7,6.7,9.8,0.494,18.1,31.3,0.312,
12,Arkansas-Pine Bluff,31,7,24,0.226,-20.0,-8.03,7,11,5,4,2,19,1850,2221,1255,627,1610,0.389,191,556,0.344,405,646,0.627,299,987,357,234,67,518,649,,68.4,86.2,0.401,0.345,0.483,46.7,56.9,10.9,6.4,0.449,21.3,26.9,0.252,,68.4,103.5,0.5539999999999999,0.33399999999999996,0.5579999999999999,53.3,64.0,11.4,12.0,0.524,19.4,31.5,0.36200000000000004,
