Abilene Christian Wildcats,Duquesne,A,L,75,94
Abilene Christian Wildcats,St. Bonaventure,A,L,47,75
Abilene Christian Wildcats,Maryland,A,L,44,67
Abilene Christian Wildcats,Iowa,A,L,41,103
Abilene Christian Wildcats,Texas Christian,A,L,64,71
Abilene Christian Wildcats,Xavier,A,L,65,93
Abilene Christian Wildcats,Towson,A,L,47,74
Abilene Christian Wildcats,New Orleans,A,L,81,87
Abilene Christian Wildcats,Southeastern Louisiana,A,L,77,85
Abilene Christian Wildcats,Oral Roberts,H,L,59,82
Abilene Christian Wildcats,Central Arkansas,H,W,73,72
Abilene Christian Wildcats,Lamar,H,L,57,65
Abilene Christian Wildcats,Sam Houston State,H,L,51,70
Abilene Christian Wildcats,Stephen F. Austin,A,L,48,64
Abilene Christian Wildcats,Northwestern State,A,L,66,84
Abilene Christian Wildcats,Houston Baptist,H,W,87,81
Abilene Christian Wildcats,Texas A&M-Corpus Christi,H,L,69,71
Abilene Christian Wildcats,Incarnate Word,A,L,68,80
Abilene Christian Wildcats,Nicholls State,A,L,60,79
Abilene Christian Wildcats,McNeese State,A,L,91,95
Abilene Christian Wildcats,Incarnate Word,H,L,56,59
Air Force Falcons,Army,N,W,79,68
Air Force Falcons,Virginia Military Institute,A,L,63,71
Air Force Falcons,Jackson State,H,L,82,84
Air Force Falcons,Arkansas-Pine Bluff,H,W,67,64
Air Force Falcons,Richmond,H,L,60,83
Air Force Falcons,Colorado,H,L,57,81
Air Force Falcons,South Dakota,H,W,94,86
Air Force Falcons,UC-Riverside,H,W,62,52
Air Force Falcons,UC-Davis,A,L,74,80
Air Force Falcons,Utah State,H,W,73,72
Air Force Falcons,Nevada-Las Vegas,A,W,75,68
Air Force Falcons,Fresno State,A,L,65,71
Air Force Falcons,San Diego State,H,L,72,79
Air Force Falcons,San Jose State,H,W,77,62
Air Force Falcons,Colorado State,A,L,68,74
Air Force Falcons,Wyoming,H,L,59,66
Air Force Falcons,Boise State,A,L,58,69
Air Force Falcons,Nevada,A,L,56,69
Air Force Falcons,Fresno State,H,L,51,68
Air Force Falcons,Colorado State,H,L,56,68
Air Force Falcons,San Jose State,A,W,51,48
Air Force Falcons,San Diego State,A,L,56,64
Air Force Falcons,Nevada,H,L,56,75
Air Force Falcons,Wyoming,A,W,55,53
Air Force Falcons,Nevada-Las Vegas,H,L,67,93
Air Force Falcons,New Mexico,A,L,52,80
Air Force Falcons,Boise State,H,W,64,61
Air Force Falcons,Fresno State,N,L,59,61
Akron Zips,Coastal Carolina,H,W,72,63
Akron Zips,Saint Mary's (CA),A,L,63,85
Akron Zips,Middle Tennessee,A,L,73,80
Akron Zips,Cleveland State,A,W,73,61
Akron Zips,Bethune-Cookman,H,W,84,56
Akron Zips,Oral Roberts,H,W,74,64
Akron Zips,Detroit Mercy,H,W,79,60
Akron Zips,Oregon State,N,W,83,71
Akron Zips,Iowa State,N,L,60,83
Akron Zips,South Carolina,N,L,59,69
Akron Zips,South Carolina,A,L,45,78
Akron Zips,Coppin State,H,W,77,66
Akron Zips,Marshall,H,W,59,58
Akron Zips,Ball State,A,W,72,68
Akron Zips,Ohio,A,W,83,80
Akron Zips,Miami (OH),H,W,59,52
Akron Zips,Toledo,H,L,61,75
Akron Zips,Eastern Michigan,A,W,78,68
Akron Zips,Central Michigan,A,W,82,74
Akron Zips,Ball State,H,W,73,46
Akron Zips,Kent State,A,L,57,60
Akron Zips,Eastern Michigan,H,W,52,48
Akron Zips,Bowling Green State,A,W,65,63
Akron Zips,Western Michigan,A,L,54,57
Akron Zips,Northern Illinois,H,W,62,54
Akron Zips,Buffalo,A,L,90,96
Akron Zips,Ohio,H,L,50,66
Akron Zips,Miami (OH),A,L,61,65
Akron Zips,Bowling Green State,H,W,57,47
Akron Zips,Buffalo,H,W,83,71
Akron Zips,Kent State,H,W,58,54
Akron Zips,Ohio,N,W,83,77
Akron Zips,Western Michigan,N,L,60,64
Akron Zips,IPFW,A,L,91,97
Alabama A&M Bulldogs,New Mexico,A,L,52,88
Alabama A&M Bulldogs,Western Michigan,A,L,69,73
Alabama A&M Bulldogs,Eastern Kentucky,A,L,68,82
Alabama A&M Bulldogs,Jacksonville State,H,L,69,76
Alabama A&M Bulldogs,Tennessee State,A,W,66,65
Alabama A&M Bulldogs,Ohio,A,L,47,72
Alabama A&M Bulldogs,Missouri State,A,L,47,68
Alabama A&M Bulldogs,Alabama-Birmingham,A,L,57,69
Alabama A&M Bulldogs,Jackson State,A,W,68,61
Alabama A&M Bulldogs,Grambling,A,W,70,58
Alabama A&M Bulldogs,Arkansas-Pine Bluff,H,L,64,72
Alabama A&M Bulldogs,Mississippi Valley State,H,W,68,59
Alabama A&M Bulldogs,Alabama State,A,L,58,67
Alabama A&M Bulldogs,Southern,A,L,52,66
Alabama A&M Bulldogs,Alcorn State,A,L,64,70
Alabama A&M Bulldogs,Texas Southern,H,W,63,62
Alabama A&M Bulldogs,Prairie View,H,W,67,55
Alabama A&M Bulldogs,Arkansas-Pine Bluff,A,L,61,64
Alabama A&M Bulldogs,Mississippi Valley State,A,W,91,82
Alabama A&M Bulldogs,Alabama State,H,W,68,65
Alabama A&M Bulldogs,Southern,H,L,62,70
Alabama A&M Bulldogs,Alcorn State,H,L,56,64
Alabama A&M Bulldogs,Prairie View,A,W,72,65
Alabama A&M Bulldogs,Texas Southern,A,L,58,79
Alabama A&M Bulldogs,Jackson State,H,W,72,59
Alabama A&M Bulldogs,Grambling,H,W,80,63
Alabama A&M Bulldogs,Arkansas-Pine Bluff,N,W,69,50
Alabama A&M Bulldogs,Prairie View,N,L,49,55
Alabama Crimson Tide,Oklahoma,N,L,73,82
Alabama Crimson Tide,Texas Tech,H,W,76,64
Alabama Crimson Tide,Georgia State,H,W,75,58
Alabama Crimson Tide,Duke,N,L,64,74
Alabama Crimson Tide,Drexel,N,L,83,85
Alabama Crimson Tide,North Florida,H,W,76,48
Alabama Crimson Tide,South Florida,A,L,64,66
Alabama Crimson Tide,Charleston Southern,H,W,59,45
Alabama Crimson Tide,Wichita State,H,L,67,72
Alabama Crimson Tide,Xavier,H,L,74,77
Alabama Crimson Tide,UCLA,A,L,67,75
Alabama Crimson Tide,Robert Morris,H,W,64,56
Alabama Crimson Tide,Vanderbilt,H,W,68,63
Alabama Crimson Tide,Georgia,A,L,58,66
Alabama Crimson Tide,Mississippi State,H,W,80,61
Alabama Crimson Tide,Missouri,A,L,47,68
Alabama Crimson Tide,Florida,H,L,62,68
Alabama Crimson Tide,Louisiana State,H,W,82,80
Alabama Crimson Tide,Auburn,A,L,55,74
Alabama Crimson Tide,Tennessee,H,L,59,76
Alabama Crimson Tide,Arkansas,A,L,58,65
Alabama Crimson Tide,Florida,A,L,69,78
Alabama Crimson Tide,Mississippi,H,W,67,64
Alabama Crimson Tide,South Carolina,A,L,66,67
Alabama Crimson Tide,Texas A&M,A,L,48,63
Alabama Crimson Tide,Missouri,H,W,80,73
Alabama Crimson Tide,Mississippi,A,L,67,79
Alabama Crimson Tide,Auburn,H,W,73,57
Alabama Crimson Tide,Kentucky,A,L,48,55
Alabama Crimson Tide,Arkansas,H,W,83,58
Alabama Crimson Tide,Louisiana State,N,L,56,68
Alabama State Hornets,Illinois,A,L,63,80
Alabama State Hornets,Bradley,A,L,59,85
Alabama State Hornets,Jacksonville State,A,W,84,73
Alabama State Hornets,Chicago State,H,W,79,75
Alabama State Hornets,Troy,A,L,69,85
Alabama State Hornets,Western Illinois,H,W,59,52
Alabama State Hornets,Tulane,A,L,66,84
Alabama State Hornets,Milwaukee,N,L,54,67
Alabama State Hornets,Grambling,A,W,68,51
Alabama State Hornets,Jackson State,A,L,68,70
Alabama State Hornets,Mississippi Valley State,H,W,93,62
Alabama State Hornets,Arkansas-Pine Bluff,H,W,77,64
Alabama State Hornets,Alabama A&M,H,W,67,58
Alabama State Hornets,Alcorn State,A,W,58,54
Alabama State Hornets,Southern,A,L,55,68
Alabama State Hornets,Prairie View,H,W,76,63
Alabama State Hornets,Texas Southern,H,W,79,73
Alabama State Hornets,Mississippi Valley State,A,W,75,70
Alabama State Hornets,Arkansas-Pine Bluff,A,L,71,76
Alabama State Hornets,Alabama A&M,A,L,65,68
Alabama State Hornets,Alcorn State,H,W,92,86
Alabama State Hornets,Southern,H,L,64,87
Alabama State Hornets,Texas Southern,A,L,66,86
Alabama State Hornets,Prairie View,A,W,90,87
Alabama State Hornets,Grambling,H,W,68,66
Alabama State Hornets,Jackson State,H,W,67,63
Alabama State Hornets,Alcorn State,N,W,64,51
Alabama State Hornets,Texas Southern,N,L,61,73
Alabama State Hornets,Sam Houston State,A,L,49,71
Alabama-Birmingham Blazers,Rutgers,H,W,79,76
Alabama-Birmingham Blazers,Troy,H,W,81,69
Alabama-Birmingham Blazers,New Mexico,N,L,94,97
Alabama-Birmingham Blazers,Nebraska,N,W,87,74
Alabama-Birmingham Blazers,Temple,N,L,66,87
Alabama-Birmingham Blazers,Florida A&M,H,W,85,73
Alabama-Birmingham Blazers,North Carolina,H,W,63,59
Alabama-Birmingham Blazers,Northeastern,A,W,74,69
Alabama-Birmingham Blazers,Georgia Southern,H,W,84,62
Alabama-Birmingham Blazers,Chattanooga,H,W,67,52
Alabama-Birmingham Blazers,Louisiana State,A,L,63,86
Alabama-Birmingham Blazers,Alabama A&M,H,W,69,57
Alabama-Birmingham Blazers,Middle Tennessee,A,L,84,89
Alabama-Birmingham Blazers,Texas-San Antonio,H,W,78,65
Alabama-Birmingham Blazers,Texas-El Paso,H,L,61,63
Alabama-Birmingham Blazers,North Texas,A,L,65,76
Alabama-Birmingham Blazers,Tulsa,A,W,70,63
Alabama-Birmingham Blazers,Old Dominion,H,W,75,66
