69.7,104.3,.442,.292,.565,51.0,47.5,7.3,8.6,.527,18.2,26.9,.313,
69.0,104.0,.366,.462,.544,51.7,59.9,9.4,11.4,.510,16.9,28.3,.259,
69.1,98.1,.317,.332,.492,50.1,45.6,8.5,7.7,.459,14.4,30.0,.215,
65.6,105.9,.398,.325,.537,50.6,48.3,8.9,8.1,.507,14.2,31.4,.264,
69.4,99.9,.292,.353,.506,47.6,51.1,8.8,7.9,.475,15.4,30.4,.202,
69.5,105.4,.440,.326,.547,50.4,50.0,8.5,8.3,.519,15.9,29.8,.286,
66.1,102.0,.391,.342,.503,52.5,48.1,8.6,9.7,.466,15.3,34.6,.263,
67.8,96.3,.272,.395,.508,44.6,50.4,7.8,10.4,.482,16.6,25.8,.184,
66.4,106.4,.386,.354,.547,49.2,51.3,10.1,8.4,.511,15.3,32.0,.271,
61.9,105.3,.401,.302,.545,53.2,49.3,11.6,8.2,.516,16.5,30.2,.267,
70.8,109.2,.398,.256,.544,50.3,43.6,9.0,10.8,.512,13.7,32.3,.272,
69.8,105.2,.381,.349,.553,49.6,58.2,8.3,12.9,.520,16.1,27.8,.267,
69.8,96.5,.293,.313,.497,43.5,48.3,7.7,8.4,.462,14.1,24.7,.209,
64.6,93.1,.371,.395,.496,49.9,52.4,6.1,7.6,.456,18.5,28.8,.254,
65.3,107.4,.537,.327,.544,55.4,59.0,12.5,9.4,.492,17.0,37.4,.381,
73.0,102.3,.382,.372,.502,50.3,50.4,8.5,7.2,.464,13.2,30.6,.258,
71.3,102.7,.428,.349,.538,50.0,55.7,7.1,9.7,.498,17.0,30.0,.300,
72.2,101.6,.318,.279,.521,47.9,45.4,9.6,9.2,.493,14.5,26.8,.213,
72.5,107.3,.401,.355,.542,52.8,52.8,8.3,11.9,.505,15.2,32.3,.280,
70.6,107.3,.309,.389,.558,48.2,52.7,9.8,7.7,.531,16.2,29.4,.218,
66.2,98.8,.375,.357,.509,48.3,50.5,9.7,6.8,.467,14.7,26.1,.264,
67.6,101.9,.376,.346,.545,44.4,72.7,9.6,9.4,.510,17.6,28.2,.263,
72.8,107.4,.367,.349,.541,50.7,48.1,9.8,10.9,.503,14.4,30.8,.264,
68.1,105.6,.336,.349,.522,51.5,57.6,7.8,7.5,.491,14.9,35.5,.230,
67.4,101.4,.344,.362,.528,52.0,54.5,10.4,8.3,.496,16.0,28.4,.238,
70.5,98.8,.358,.379,.544,48.7,49.4,7.4,9.8,.511,18.6,24.9,.250,
66.9,104.9,.370,.339,.554,54.2,58.7,10.9,10.5,.524,16.9,28.7,.254,
69.4,103.2,.339,.370,.528,49.3,55.5,9.1,7.9,.497,14.8,27.5,.232,
69.3,104.2,.346,.377,.533,49.4,44.4,8.8,7.6,.502,14.9,28.2,.239,
67.1,103.4,.517,.325,.536,50.9,53.9,11.4,9.8,.496,15.2,26.3,.344,
74.0,98.0,.320,.380,.515,47.0,54.0,7.5,9.0,.479,15.7,25.1,.229,
70.5,107.3,.357,.355,.534,51.7,53.0,10.8,9.8,.502,13.8,31.2,.245,
68.4,110.5,.313,.404,.547,53.7,57.1,10.1,9.6,.514,13.8,33.6,.228,
71.5,101.1,.410,.359,.525,48.4,57.4,9.6,11.5,.490,15.6,28.1,.275,
72.6,102.9,.377,.360,.532,48.3,50.6,7.7,8.9,.493,15.8,28.7,.270,
69.9,101.2,.358,.363,.533,47.7,50.6,6.6,10.6,.497,16.4,27.2,.254,
67.8,109.0,.383,.318,.555,50.2,57.4,7.3,8.8,.522,13.8,27.9,.266,
68.4,92.5,.423,.343,.497,47.2,48.7,7.8,7.6,.451,19.1,28.9,.291,
70.0,105.6,.379,.386,.538,49.5,58.0,7.7,10.5,.497,14.2,28.2,.277,
71.3,103.5,.347,.331,.535,51.4,57.8,9.0,8.7,.504,16.4,30.8,.237,
67.1,96.3,.302,.370,.506,50.6,57.9,10.8,9.0,.471,17.3,27.6,.216,
67.7,96.7,.337,.369,.490,48.3,62.6,7.9,6.3,.445,14.7,27.7,.247,
68.7,101.5,.383,.313,.523,49.4,53.8,9.2,10.2,.481,15.1,27.7,.274,
68.4,97.9,.407,.415,.505,48.8,55.7,7.5,7.6,.462,15.5,27.6,.281,
68.3,97.5,.375,.265,.489,45.5,46.8,7.3,7.8,.443,12.3,25.2,.265,
70.0,104.5,.380,.315,.546,53.4,45.6,8.5,7.6,.516,16.7,30.2,.257,
68.8,110.9,.390,.384,.583,52.4,59.0,7.5,9.7,.549,17.0,32.8,.283,
73.7,113.6,.387,.357,.573,49.6,54.6,9.5,9.8,.538,13.7,29.8,.279,
68.8,112.2,.305,.327,.558,51.2,52.7,10.1,9.3,.534,12.8,30.3,.211,
68.3,103.9,.250,.349,.498,48.3,55.1,10.8,9.1,.471,11.4,30.5,.172,
67.4,107.6,.333,.343,.535,51.7,48.5,6.3,7.8,.504,13.7,30.7,.231,
70.0,106.4,.365,.385,.562,51.1,52.4,8.2,11.8,.529,15.8,26.4,.261,
72.1,108.9,.309,.337,.575,50.1,45.6,7.8,8.5,.548,16.2,27.5,.223,
68.1,98.5,.297,.361,.527,47.7,51.0,9.4,10.7,.500,18.0,28.5,.202,
72.0,107.6,.432,.419,.565,52.3,66.8,9.3,10.7,.533,17.6,32.5,.294,
65.6,94.1,.270,.352,.486,46.8,50.7,7.6,8.7,.456,17.2,30.3,.184,
81.2,113.6,.439,.313,.598,55.6,52.4,8.4,11.6,.568,17.8,35.6,.308,
63.7,100.5,.285,.338,.510,49.6,51.9,7.9,8.4,.479,15.4,30.2,.202,
65.9,102.4,.452,.353,.537,51.4,59.1,9.6,8.4,.504,17.6,31.7,.297,
68.3,97.0,.298,.414,.486,47.6,50.0,8.7,7.6,.457,13.8,28.2,.195,
65.3,107.6,.415,.372,.560,52.3,52.3,8.3,11.3,.528,16.8,31.0,.285,
65.1,94.4,.426,.346,.516,49.2,47.5,8.1,9.2,.480,19.2,26.7,.280,
69.3,108.2,.345,.395,.554,46.4,51.2,8.5,8.8,.520,13.1,24.9,.249,
70.8,99.3,.351,.292,.506,44.3,41.9,10.5,11.1,.470,13.5,24.5,.241,
66.8,101.6,.344,.385,.538,48.2,53.9,6.8,9.9,.508,16.8,26.2,.236,
66.3,94.5,.354,.362,.481,48.9,52.1,7.6,9.4,.445,15.4,28.9,.234,
71.3,109.4,.427,.322,.555,52.9,52.3,7.7,10.1,.530,16.0,35.1,.274,
72.6,106.9,.349,.356,.546,56.8,59.9,7.6,10.7,.508,16.8,35.7,.257,
72.0,100.5,.335,.338,.523,48.6,50.9,8.9,8.7,.490,15.4,26.1,.233,
69.1,101.9,.422,.406,.550,48.2,53.4,9.7,11.6,.521,18.5,28.8,.280,
71.2,109.2,.300,.353,.548,52.9,49.1,7.8,9.4,.520,13.8,30.7,.211,
68.6,95.1,.328,.368,.500,46.8,54.8,7.0,8.0,.469,15.9,24.2,.219,
67.2,107.8,.406,.422,.538,55.2,60.4,8.7,9.0,.502,16.4,37.5,.278,
67.4,111.8,.319,.472,.548,49.3,62.4,9.3,10.5,.518,11.7,27.9,.226,
62.6,104.3,.434,.352,.567,54.8,54.6,9.1,10.4,.519,19.8,31.0,.329,
68.4,109.2,.448,.395,.560,49.4,61.6,9.7,8.2,.514,15.4,29.9,.331,
75.7,109.0,.454,.364,.565,48.6,51.9,8.3,9.8,.525,15.4,29.3,.323,
65.9,107.8,.301,.329,.540,49.7,46.0,9.1,12.0,.513,12.8,27.3,.210,
65.6,107.0,.474,.325,.557,52.0,51.8,7.8,9.1,.520,15.7,29.0,.325,
68.4,105.2,.253,.296,.519,50.5,52.4,6.6,9.8,.495,14.5,34.4,.172,
73.6,106.2,.375,.383,.531,48.9,65.2,8.3,8.4,.493,13.5,28.2,.263,
67.0,105.2,.267,.394,.534,51.5,63.2,9.3,10.5,.512,15.7,32.4,.180,
71.1,103.9,.393,.373,.537,50.1,46.6,8.8,8.6,.496,15.9,29.8,.282,
68.3,106.2,.387,.368,.543,53.7,54.7,8.8,7.2,.506,16.7,34.1,.272,
73.4,107.9,.416,.368,.565,52.3,61.4,9.1,7.4,.531,17.7,33.5,.291,
72.4,102.1,.398,.404,.529,51.4,58.6,8.3,7.9,.491,18.5,35.3,.275,
70.4,109.4,.378,.273,.564,50.6,52.0,8.2,10.6,.535,14.6,28.3,.261,
71.7,104.8,.322,.306,.528,50.7,44.8,8.9,12.1,.502,14.2,29.5,.215,
68.9,94.1,.296,.324,.496,47.8,51.1,8.2,8.9,.457,16.3,25.0,.218,
72.2,104.8,.341,.361,.529,53.9,50.3,7.9,7.6,.496,16.0,34.0,.236,
72.4,107.6,.467,.367,.560,53.7,56.1,8.6,8.6,.522,18.0,35.4,.325,
70.8,101.0,.381,.347,.533,53.1,45.4,10.5,8.0,.499,17.9,31.1,.261,
68.5,107.8,.371,.251,.539,54.4,47.4,8.7,12.1,.502,14.3,32.1,.263,
69.8,98.8,.335,.359,.501,46.5,47.3,9.3,7.0,.467,14.6,27.6,.229,
66.8,103.3,.350,.384,.506,48.2,53.0,8.8,8.0,.470,12.6,29.7,.239,
71.8,102.7,.367,.370,.541,47.6,51.1,7.3,7.4,.509,16.4,28.3,.253,
70.1,97.9,.357,.322,.503,48.7,47.6,7.6,9.1,.467,16.0,29.5,.242,
68.2,99.4,.401,.393,.551,48.7,62.9,9.8,8.7,.514,20.1,26.6,.283,
70.0,99.5,.445,.395,.530,49.6,53.0,6.5,7.3,.486,18.5,29.4,.311,
66.4,100.4,.367,.364,.530,46.8,49.3,9.9,9.0,.498,16.9,27.3,.249,
70.9,103.5,.393,.367,.547,49.2,51.3,9.0,8.4,.509,17.1,29.3,.281,
67.6,106.1,.300,.348,.517,44.9,49.1,8.0,9.5,.484,9.0,22.8,.214,
67.5,100.8,.270,.357,.518,46.3,46.5,8.6,9.2,.487,15.2,27.7,.195,
69.1,102.8,.493,.310,.522,49.2,53.8,8.9,8.3,.466,14.0,28.4,.356,
71.2,103.6,.436,.404,.542,52.1,49.2,6.6,11.9,.503,17.9,33.1,.302,
65.1,98.2,.414,.410,.523,53.1,58.5,8.0,7.9,.475,18.6,31.0,.301,
66.9,105.3,.317,.305,.525,44.7,46.8,7.0,6.3,.491,12.7,27.2,.226,
68.1,101.5,.411,.396,.502,48.0,50.0,9.1,10.2,.455,13.4,29.8,.288,
68.1,95.9,.281,.331,.480,44.8,43.1,8.5,8.0,.446,13.1,25.5,.198,
67.2,100.4,.403,.371,.527,52.4,55.0,9.7,10.6,.493,17.5,30.9,.268,
69.9,97.1,.348,.362,.513,47.3,44.8,8.6,9.2,.482,16.9,26.9,.230,
77.4,102.3,.358,.339,.546,51.3,50.5,7.6,10.0,.511,18.8,31.7,.255,
71.8,101.2,.360,.331,.523,46.9,42.0,7.8,10.3,.483,14.8,27.0,.260,
70.0,110.0,.408,.345,.557,58.3,54.9,7.4,10.9,.531,15.9,35.2,.267,
67.1,98.3,.327,.354,.499,47.9,52.1,10.7,7.0,.460,14.8,27.7,.233,
71.5,92.9,.392,.350,.500,47.0,47.9,8.1,7.5,.453,18.0,26.1,.281,
67.7,103.4,.321,.380,.548,49.7,47.0,7.7,8.1,.519,18.5,31.4,.225,
70.2,102.9,.236,.341,.517,48.6,51.6,7.7,9.6,.496,14.2,29.8,.158,
64.6,106.2,.334,.408,.563,54.4,58.2,8.1,9.7,.532,17.2,29.4,.242,
72.4,104.9,.346,.327,.531,48.8,55.2,9.5,9.4,.493,14.8,30.3,.249,
66.3,102.5,.360,.349,.513,48.5,49.0,7.5,8.6,.473,15.5,33.3,.254,
72.2,103.7,.373,.365,.521,50.6,49.9,7.7,8.2,.487,16.0,35.0,.254,
71.8,105.8,.349,.397,.544,51.9,53.0,8.4,10.2,.514,15.5,29.6,.240,
67.2,98.2,.402,.447,.525,44.6,55.4,10.8,8.3,.490,17.0,25.2,.271,
72.7,106.0,.387,.337,.528,49.5,60.9,9.8,11.4,.487,13.6,30.5,.274,
67.7,97.2,.372,.369,.515,49.7,53.3,8.8,8.2,.480,17.5,28.1,.252,
68.6,106.3,.265,.384,.561,54.0,54.1,7.1,10.1,.536,16.8,28.1,.191,
71.2,103.1,.359,.342,.544,52.3,54.5,8.9,11.2,.520,16.6,28.1,.235,
70.0,98.0,.435,.331,.514,49.6,47.1,8.6,9.4,.469,15.7,25.3,.301,
69.1,100.9,.302,.312,.525,45.1,46.7,8.9,8.8,.498,16.4,28.8,.206,
72.5,102.1,.363,.360,.524,50.3,53.4,8.0,8.6,.488,16.4,30.9,.254,
71.6,103.7,.249,.356,.522,50.3,50.6,7.7,7.1,.498,14.5,29.9,.171,
69.1,99.5,.250,.382,.506,49.4,53.4,7.7,7.6,.480,16.0,31.0,.171,
70.4,107.2,.301,.354,.553,48.6,47.0,8.2,8.9,.528,14.2,26.0,.207,
70.0,104.7,.380,.301,.545,50.9,45.4,10.6,10.8,.510,15.7,28.2,.267,
68.3,94.0,.474,.356,.500,48.6,51.9,8.6,9.4,.446,18.1,27.5,.334,
66.6,107.8,.419,.322,.553,53.9,48.7,6.7,7.9,.518,16.1,33.2,.290,
72.3,104.2,.328,.421,.545,49.6,52.9,6.7,8.0,.521,15.6,25.8,.217,
67.9,99.2,.365,.424,.500,47.7,52.0,8.2,7.0,.458,13.5,26.7,.257,
67.5,99.2,.404,.363,.528,47.5,57.7,10.0,10.4,.490,18.1,31.0,.278,
69.8,95.7,.371,.330,.497,46.1,47.3,9.2,8.5,.450,15.9,27.2,.269,
70.5,109.4,.373,.351,.556,52.9,48.4,9.5,7.7,.526,15.6,34.5,.256,
68.1,105.5,.346,.351,.545,47.1,53.8,7.8,7.0,.507,15.0,27.8,.256,
68.3,98.7,.407,.296,.493,46.4,40.4,6.2,7.5,.445,15.0,31.7,.286,
67.2,109.5,.348,.358,.559,55.1,58.1,8.6,12.8,.525,16.5,34.1,.252,
69.7,112.1,.351,.364,.562,55.5,52.8,8.7,10.2,.529,14.3,32.9,.254,
73.7,104.4,.460,.346,.546,49.0,60.5,9.1,8.4,.504,17.2,31.3,.323,
67.2,102.7,.281,.386,.534,49.1,59.7,8.9,9.8,.505,16.2,28.9,.201,
64.9,105.3,.423,.368,.556,52.5,53.4,10.5,7.7,.522,16.5,27.9,.293,
73.8,108.8,.357,.401,.559,51.4,57.2,9.0,11.4,.522,15.5,30.1,.263,
70.7,102.7,.386,.369,.538,51.7,54.9,7.5,9.9,.505,17.2,30.4,.263,
73.0,104.2,.380,.316,.544,49.9,55.1,7.9,8.2,.509,17.1,31.1,.267,
69.7,107.9,.352,.429,.560,48.4,57.1,10.3,7.4,.526,15.4,27.6,.257,
71.7,100.8,.358,.300,.525,44.6,42.5,7.8,9.1,.489,14.7,25.8,.250,
66.7,101.8,.318,.381,.511,48.9,47.3,8.0,7.6,.475,14.9,31.0,.226,
72.9,104.9,.334,.371,.543,50.0,49.2,8.1,8.0,.518,16.2,29.8,.223,
73.0,97.6,.334,.332,.512,49.8,51.0,7.7,8.0,.480,16.9,28.6,.228,
66.4,92.0,.405,.353,.492,45.3,51.5,8.2,6.9,.447,18.7,29.2,.278,
65.5,98.2,.356,.339,.531,53.5,55.5,8.9,10.7,.492,19.4,30.2,.258,
68.0,107.9,.425,.396,.572,52.5,64.4,7.9,8.8,.534,17.7,31.7,.308,
67.3,109.1,.409,.327,.554,49.9,53.6,8.7,11.1,.520,14.7,30.6,.284,
77.7,110.4,.380,.315,.587,53.5,57.3,10.7,11.5,.555,18.2,32.3,.276,
69.0,104.7,.468,.318,.565,54.9,60.3,9.3,10.4,.522,19.6,32.5,.337,
69.0,112.1,.366,.351,.566,54.1,53.8,9.1,8.9,.536,14.6,32.0,.257,
72.3,101.0,.280,.346,.521,50.0,60.3,9.5,8.2,.487,16.4,30.7,.207,
77.6,108.6,.359,.298,.554,52.1,45.0,8.4,7.1,.523,14.7,30.9,.251,
70.7,113.1,.388,.367,.598,52.9,53.9,9.0,8.6,.566,17.0,28.9,.284,
68.4,108.3,.489,.386,.568,48.6,55.2,9.6,9.9,.529,16.6,28.6,.342,
67.4,98.5,.270,.350,.496,48.1,46.8,9.0,8.1,.463,14.4,29.0,.192,
74.3,110.5,.374,.352,.574,53.4,48.0,11.0,8.1,.543,16.6,32.6,.265,
71.7,104.1,.402,.356,.528,52.1,57.0,7.9,9.2,.483,14.8,30.4,.294,
70.5,110.1,.371,.309,.548,52.7,55.0,8.8,8.3,.518,13.8,33.0,.253,
73.6,94.8,.384,.323,.490,48.6,52.2,9.1,10.9,.449,16.4,29.6,.260,
65.7,102.4,.328,.446,.518,44.1,57.9,9.8,10.3,.481,14.1,26.6,.235,
66.2,101.4,.291,.304,.516,48.3,46.0,8.0,6.9,.483,15.0,28.8,.209,
65.5,104.0,.381,.423,.552,52.0,56.4,8.1,8.4,.510,18.3,30.8,.285,
66.9,95.2,.341,.325,.477,42.0,48.7,7.9,8.6,.433,12.4,24.3,.243,
65.8,102.0,.268,.363,.539,50.8,52.7,6.1,9.9,.511,16.1,26.2,.194,
69.1,99.3,.417,.349,.529,48.6,50.8,8.5,7.7,.494,17.1,25.4,.279,
68.5,103.8,.284,.319,.536,48.3,48.6,7.3,9.1,.509,13.9,25.0,.197,
68.4,106.8,.342,.344,.552,52.3,58.4,8.0,10.2,.517,15.5,29.2,.249,
70.2,103.3,.363,.339,.524,51.1,48.9,9.0,9.3,.489,15.7,32.8,.250,
71.3,106.5,.352,.383,.538,54.3,52.0,9.0,9.6,.510,16.3,34.6,.236,
70.0,102.1,.406,.386,.531,48.6,58.9,9.3,11.6,.496,17.3,31.1,.274,
67.7,106.3,.439,.381,.544,49.6,58.0,8.4,10.1,.496,15.5,31.3,.322,
69.1,104.1,.346,.356,.541,50.5,57.3,9.4,6.5,.510,15.5,27.9,.242,
69.3,105.3,.408,.392,.529,51.0,56.4,8.4,11.4,.490,14.0,29.8,.284,
73.9,97.2,.372,.418,.502,50.3,50.1,7.9,10.1,.461,17.2,30.7,.259,
70.1,110.5,.457,.363,.572,48.4,49.4,8.2,10.6,.540,14.7,27.4,.312,
67.2,99.6,.432,.365,.533,47.8,45.9,9.3,9.1,.488,16.8,24.1,.309,
67.7,100.9,.524,.352,.552,46.4,49.9,7.7,9.5,.501,19.2,28.1,.378,
69.1,102.9,.375,.320,.537,52.5,53.8,8.1,10.2,.506,17.9,33.8,.254,
69.7,98.2,.404,.289,.542,56.0,45.2,8.5,8.1,.502,21.3,33.7,.288,
65.6,102.4,.409,.334,.554,48.8,50.9,8.4,6.5,.516,17.8,26.4,.294,
64.9,98.2,.389,.415,.526,46.5,58.3,9.0,7.5,.486,17.8,27.0,.274,
76.4,105.9,.369,.355,.565,51.1,49.9,7.9,8.6,.524,17.3,30.9,.279,
67.0,102.1,.397,.340,.541,48.6,53.6,7.8,9.5,.501,17.1,28.1,.285,
