Abilene Christian Wildcats,Tulsa,A,L,39,65
Abilene Christian Wildcats,Duquesne,H,L,81,102
Abilene Christian Wildcats,UC-Riverside,A,L,56,76
Abilene Christian Wildcats,Sacramento State,H,W,72,61
Abilene Christian Wildcats,Houston,A,L,59,71
Abilene Christian Wildcats,Loyola (IL),A,L,44,83
Abilene Christian Wildcats,Boise State,A,L,33,77
Abilene Christian Wildcats,South Carolina State,N,W,65,59
Abilene Christian Wildcats,Arkansas-Pine Bluff,N,W,69,61
Abilene Christian Wildcats,Grand Canyon,A,L,81,83
Abilene Christian Wildcats,Central Arkansas,H,W,87,70
Abilene Christian Wildcats,Nicholls State,H,W,71,54
Abilene Christian Wildcats,Northwestern State,A,W,95,81
Abilene Christian Wildcats,Stephen F. Austin,H,L,64,82
Abilene Christian Wildcats,McNeese State,A,L,56,63
Abilene Christian Wildcats,Incarnate Word,H,L,61,77
Abilene Christian Wildcats,Sam Houston State,H,L,63,80
Abilene Christian Wildcats,Lamar,A,L,74,84
Abilene Christian Wildcats,Houston Baptist,A,L,61,77
Abilene Christian Wildcats,Southeastern Louisiana,H,L,52,65
Abilene Christian Wildcats,Lamar,N,L,61,80
Abilene Christian Wildcats,Sam Houston State,A,L,49,71
Abilene Christian Wildcats,Southeastern Louisiana,A,L,54,55
Abilene Christian Wildcats,Texas A&M-Corpus Christi,H,L,44,67
Abilene Christian Wildcats,New Orleans,A,L,55,75
Abilene Christian Wildcats,Houston Baptist,H,W,83,71
Abilene Christian Wildcats,Incarnate Word,A,L,52,64
Abilene Christian Wildcats,Texas A&M-Corpus Christi,A,L,27,58
Air Force Falcons,Army,A,L,78,84
Air Force Falcons,Citadel,N,W,68,55
Air Force Falcons,Colorado,A,L,53,68
Air Force Falcons,Texas Tech,A,L,62,63
Air Force Falcons,Grambling,H,W,59,34
Air Force Falcons,Nebraska-Omaha,H,W,77,61
Air Force Falcons,Arkansas-Pine Bluff,H,W,80,47
Air Force Falcons,UC-Davis,H,L,75,81
Air Force Falcons,Jacksonville State,H,W,66,65
Air Force Falcons,San Diego State,A,L,49,53
Air Force Falcons,Nevada,A,L,62,80
Air Force Falcons,San Jose State,H,W,78,56
Air Force Falcons,Colorado State,H,L,87,92
Air Force Falcons,New Mexico,A,L,48,60
Air Force Falcons,Utah State,A,L,59,71
Air Force Falcons,San Diego State,H,L,45,77
Air Force Falcons,Boise State,H,L,68,77
Air Force Falcons,San Jose State,A,W,66,52
Air Force Falcons,Nevada-Las Vegas,A,L,63,74
Air Force Falcons,New Mexico,H,W,53,49
Air Force Falcons,Wyoming,H,W,73,50
Air Force Falcons,Boise State,A,L,42,67
Air Force Falcons,Nevada-Las Vegas,H,W,76,75
Air Force Falcons,Colorado State,A,L,53,66
Air Force Falcons,Nevada,H,W,75,70
Air Force Falcons,Utah State,H,L,60,74
Air Force Falcons,Fresno State,A,L,66,68
Air Force Falcons,New Mexico,N,W,68,61
Air Force Falcons,Boise State,N,L,68,80
Akron Zips,Maryland-Baltimore County,H,W,74,57
Akron Zips,Southern California,N,W,66,46
Akron Zips,Miami (FL),N,L,51,79
Akron Zips,South Carolina,N,W,68,63
Akron Zips,Penn State,A,L,72,78
Akron Zips,Bryant,H,W,72,66
Akron Zips,Arkansas-Pine Bluff,H,W,81,60
Akron Zips,Western Illinois,H,W,73,49
Akron Zips,Middle Tennessee,H,L,61,62
Akron Zips,North Dakota State,A,L,46,55
Akron Zips,Marshall,H,W,70,63
Akron Zips,Coppin State,H,W,79,62
Akron Zips,Western Michigan,H,W,72,52
Akron Zips,Toledo,A,L,67,84
Akron Zips,Bowling Green State,H,W,67,50
Akron Zips,Central Michigan,H,W,82,76
Akron Zips,Northern Illinois,A,L,61,64
Akron Zips,Western Michigan,A,W,71,69
Akron Zips,Ball State,H,W,59,47
Akron Zips,Bowling Green State,A,W,69,68
Akron Zips,Ohio,A,L,82,83
Akron Zips,Buffalo,H,W,75,72
Akron Zips,Kent State,H,W,61,52
Akron Zips,Eastern Michigan,A,L,75,78
Akron Zips,Toledo,H,L,66,68
Akron Zips,Miami (OH),H,L,52,57
Akron Zips,Buffalo,A,L,62,67
Akron Zips,Ohio,H,W,70,58
Akron Zips,Miami (OH),A,L,63,70
Akron Zips,Kent State,A,L,77,79
Akron Zips,Northern Illinois,H,W,76,52
Akron Zips,Western Michigan,N,W,58,45
Akron Zips,Kent State,N,W,53,51
Akron Zips,Buffalo,N,L,59,68
Alabama A&M Bulldogs,Dayton,A,L,52,76
Alabama A&M Bulldogs,Georgia Tech,A,L,46,66
Alabama A&M Bulldogs,Jacksonville State,H,L,61,67
Alabama A&M Bulldogs,Southeast Missouri State,A,L,51,85
Alabama A&M Bulldogs,Bowling Green State,A,L,47,64
Alabama A&M Bulldogs,Virginia Tech,A,L,55,65
Alabama A&M Bulldogs,Marquette,A,L,49,83
Alabama A&M Bulldogs,Western Michigan,A,L,62,71
Alabama A&M Bulldogs,Murray State,A,L,39,76
Alabama A&M Bulldogs,Jackson State,H,L,67,70
Alabama A&M Bulldogs,Grambling,H,W,67,46
Alabama A&M Bulldogs,Mississippi Valley State,A,W,86,73
Alabama A&M Bulldogs,Arkansas-Pine Bluff,A,W,51,48
Alabama A&M Bulldogs,Alabama State,H,L,56,59
Alabama A&M Bulldogs,Southern,H,L,58,65
Alabama A&M Bulldogs,Alcorn State,H,W,78,66
Alabama A&M Bulldogs,Prairie View,A,L,63,89
Alabama A&M Bulldogs,Texas Southern,A,L,65,68
Alabama A&M Bulldogs,Mississippi Valley State,H,W,74,68
Alabama A&M Bulldogs,Arkansas-Pine Bluff,H,L,42,56
Alabama A&M Bulldogs,Alabama State,A,W,80,71
Alabama A&M Bulldogs,Southern,A,L,63,72
Alabama A&M Bulldogs,Alcorn State,A,W,73,69
Alabama A&M Bulldogs,Prairie View,H,L,72,75
Alabama A&M Bulldogs,Texas Southern,H,L,75,77
