69.7,101.4,.383,.335,.548,49.0,54.7,10.7,6.6,.514,17.2,26.0,.269,
69.0,97.7,.402,.339,.523,48.3,55.9,8.7,5.9,.485,16.8,24.7,.275,
69.1,110.5,.312,.506,.553,49.9,55.7,7.8,9.8,.528,13.5,29.0,.214,
65.6,102.4,.393,.367,.510,49.4,53.7,8.5,5.7,.471,14.9,31.5,.269,
69.4,112.0,.332,.341,.571,52.4,64.4,9.2,15.4,.542,15.4,32.7,.240,
69.5,101.2,.325,.337,.501,49.6,47.2,8.3,9.1,.467,14.4,31.5,.222,
66.1,99.7,.407,.436,.525,47.5,47.0,8.7,14.2,.496,17.3,28.3,.262,
67.8,110.3,.440,.317,.558,55.4,48.3,9.5,4.5,.509,15.6,34.9,.330,
66.4,99.0,.400,.335,.500,50.8,39.4,6.6,10.3,.460,17.5,35.0,.271,
61.9,92.3,.317,.385,.522,46.8,55.2,9.1,6.3,.490,19.8,23.5,.221,
70.8,99.6,.391,.401,.514,49.7,49.7,5.8,7.5,.472,17.8,32.9,.275,
69.8,104.2,.378,.394,.518,50.4,50.9,7.6,7.3,.481,14.5,31.5,.260,
69.8,112.7,.438,.294,.575,56.5,51.3,6.8,11.3,.536,15.6,34.7,.316,
64.6,108.8,.315,.354,.553,50.1,50.9,10.1,9.6,.520,13.9,27.7,.229,
65.3,86.3,.301,.387,.474,44.6,47.0,10.9,10.8,.450,20.7,27.7,.184,
73.0,99.3,.409,.304,.510,49.7,49.5,6.8,10.9,.459,15.1,28.1,.300,
71.3,107.5,.376,.273,.533,50.0,58.7,10.0,13.8,.497,13.2,30.9,.261,
72.2,104.2,.315,.421,.530,52.1,56.0,6.7,8.3,.500,15.7,31.4,.218,
72.5,97.1,.410,.439,.504,47.2,48.6,7.4,10.4,.473,16.4,27.9,.259,
70.6,106.4,.457,.315,.549,51.8,50.7,9.7,7.7,.516,16.7,32.8,.306,
66.2,104.8,.349,.426,.554,51.7,59.9,8.1,10.0,.525,17.1,27.6,.242,
67.6,112.8,.375,.286,.555,55.6,64.6,11.6,11.2,.518,15.5,40.1,.272,
72.8,112.8,.352,.504,.611,49.3,59.5,6.2,6.3,.586,17.3,26.3,.255,
68.1,102.4,.309,.407,.510,48.5,46.4,8.9,15.3,.478,15.7,32.9,.213,
67.4,90.0,.362,.371,.483,48.0,52.9,7.9,6.4,.443,18.1,25.2,.247,
70.5,109.1,.406,.424,.559,51.3,51.1,9.2,5.8,.523,14.3,28.5,.288,
66.9,91.1,.259,.404,.498,45.8,57.2,8.4,8.1,.475,17.8,21.8,.168,
69.4,104.0,.363,.395,.559,50.7,53.1,8.5,10.2,.526,17.4,26.7,.260,
69.3,101.8,.398,.294,.528,50.6,46.9,8.9,9.2,.497,15.9,28.7,.261,
67.1,82.8,.393,.370,.473,49.1,48.2,6.6,7.7,.431,22.2,25.0,.261,
74.0,112.6,.349,.364,.560,53.0,55.7,9.3,11.5,.532,13.6,31.1,.241,
70.5,101.6,.369,.393,.534,48.3,59.4,7.5,10.2,.498,16.3,26.5,.259,
68.4,94.5,.268,.342,.498,46.3,55.0,8.2,7.4,.475,17.1,26.3,.172,
71.5,108.2,.433,.357,.568,51.6,58.8,9.0,8.5,.530,16.4,29.8,.309,
72.6,105.8,.414,.370,.540,51.7,48.2,9.4,9.2,.499,15.9,32.1,.294,
69.9,113.9,.393,.305,.564,52.3,51.0,9.8,8.9,.526,12.6,32.0,.287,
67.8,104.9,.345,.376,.515,49.8,56.3,7.9,8.2,.482,12.8,30.2,.233,
68.4,105.8,.374,.270,.527,52.8,59.0,11.6,14.2,.497,15.0,34.4,.245,
70.0,99.8,.436,.342,.512,50.5,43.6,7.0,4.5,.467,16.0,29.8,.302,
71.3,98.1,.427,.247,.517,48.6,56.8,9.3,7.9,.469,16.8,27.4,.306,
67.1,93.1,.346,.288,.511,49.4,49.1,9.0,4.5,.484,18.6,25.1,.221,
