Air Force Falcons,Army,A,W,87,71
Air Force Falcons,Virginia Military Institute,N,W,75,65
Air Force Falcons,Colorado,A,L,73,76
Air Force Falcons,Drake,H,L,60,62
Air Force Falcons,Wright State,A,W,55,34
Air Force Falcons,Arkansas-Pine Bluff,A,W,63,51
Air Force Falcons,Maryland-Eastern Shore,A,W,64,60
Air Force Falcons,Gonzaga,H,L,60,70
Air Force Falcons,Wagner,N,L,61,72
Air Force Falcons,Eastern Michigan,N,W,42,37
Air Force Falcons,Chicago State,A,W,68,54
Air Force Falcons,Texas-Rio Grande Valley,A,W,67,50
Air Force Falcons,Boise State,H,W,74,59
Air Force Falcons,Wyoming,A,L,53,64
Air Force Falcons,San Diego State,H,L,44,57
Air Force Falcons,Texas Christian,H,L,56,59
Air Force Falcons,Nevada-Las Vegas,A,L,63,65
Air Force Falcons,New Mexico,A,L,42,81
Air Force Falcons,Colorado State,H,L,49,67
Air Force Falcons,Boise State,A,L,61,72
Air Force Falcons,Wyoming,H,W,58,53
Air Force Falcons,San Diego State,A,W,58,56
Air Force Falcons,Texas Christian,A,L,62,65
Air Force Falcons,Nevada-Las Vegas,H,L,58,68
Air Force Falcons,New Mexico,H,L,56,86
Air Force Falcons,Colorado State,A,L,65,75
Air Force Falcons,New Mexico,N,L,64,79
Akron Zips,Mississippi State,H,W,68,58
Akron Zips,Valparaiso,H,L,59,62
Akron Zips,Duquesne,N,L,76,81
Akron Zips,Detroit Mercy,A,W,81,63
Akron Zips,West Virginia,H,L,56,77
Akron Zips,Middle Tennessee,H,L,53,77
Akron Zips,Cleveland State,H,L,66,69
Akron Zips,Arkansas-Pine Bluff,A,W,87,64
Akron Zips,Florida A&M,A,W,91,69
Akron Zips,Youngstown State,A,W,88,62
Akron Zips,North Carolina A&T,A,W,79,52
Akron Zips,Virginia Commonwealth,A,L,75,76
Akron Zips,Marshall,H,W,67,51
Akron Zips,Miami (OH),H,W,65,60
Akron Zips,Bowling Green State,H,W,56,55
Akron Zips,Ohio,A,W,68,63
Akron Zips,Buffalo,H,L,70,82
Akron Zips,Kent State,A,W,84,75
Akron Zips,Ball State,H,W,70,58
Akron Zips,Central Michigan,H,W,74,64
Akron Zips,Toledo,A,W,86,72
Akron Zips,Eastern Michigan,A,W,77,47
Akron Zips,Western Michigan,H,W,69,66
Akron Zips,Northern Illinois,A,W,75,51
Akron Zips,Miami (OH),A,W,74,59
Akron Zips,Oral Roberts,H,L,61,67
Akron Zips,Bowling Green State,A,W,79,68
Akron Zips,Ohio,H,L,61,85
Akron Zips,Buffalo,A,L,70,74
Akron Zips,Kent State,H,W,61,55
Akron Zips,Kent State,N,W,78,74
Akron Zips,Ohio,N,L,63,64
Akron Zips,Northwestern,H,L,74,76
Alabama A&M Bulldogs,Tulane,H,L,63,72
Alabama A&M Bulldogs,Alabama,H,L,45,82
Alabama A&M Bulldogs,South Alabama,H,L,44,67
Alabama A&M Bulldogs,Michigan,H,L,57,87
Alabama A&M Bulldogs,Georgia Tech,H,L,54,65
Alabama A&M Bulldogs,Tennessee State,H,L,68,78
Alabama A&M Bulldogs,Alabama-Birmingham,H,L,58,92
Alabama A&M Bulldogs,Jackson State,H,L,52,55
Alabama A&M Bulldogs,Grambling,H,L,55,60
Alabama A&M Bulldogs,Arkansas-Pine Bluff,A,W,65,62
Alabama A&M Bulldogs,Mississippi Valley State,A,L,69,81
Alabama A&M Bulldogs,Alabama State,H,L,50,53
Alabama A&M Bulldogs,Southern,H,L,69,75
Alabama A&M Bulldogs,Alcorn State,H,W,65,64
Alabama A&M Bulldogs,Texas Southern,A,L,61,73
Alabama A&M Bulldogs,Prairie View,A,W,64,54
Alabama A&M Bulldogs,Arkansas-Pine Bluff,H,L,75,81
Alabama A&M Bulldogs,Mississippi Valley State,H,L,64,78
Alabama A&M Bulldogs,Alabama State,A,L,47,57
Alabama A&M Bulldogs,Southern,A,L,65,72
Alabama A&M Bulldogs,Alcorn State,A,W,81,71
Alabama A&M Bulldogs,Prairie View,H,L,52,60
Alabama A&M Bulldogs,Texas Southern,H,L,59,69
Alabama A&M Bulldogs,Jackson State,A,W,73,53
Alabama A&M Bulldogs,Grambling,A,L,72,75
Alabama A&M Bulldogs,Texas Southern,N,L,62,75
Alabama Crimson Tide,North Florida,A,W,64,44
Alabama Crimson Tide,Oakland,A,W,74,57
Alabama Crimson Tide,Maryland,N,W,62,42
Alabama Crimson Tide,Wichita State,N,W,70,60
Alabama Crimson Tide,Purdue,N,W,65,56
