Abilene Christian Wildcats,Portland,A,L,57,87
Abilene Christian Wildcats,Colorado State,A,L,100,108
Abilene Christian Wildcats,Florida A&M,N,W,72,62
Abilene Christian Wildcats,Oakland,N,L,57,85
Abilene Christian Wildcats,New Hampshire,H,L,75,86
Abilene Christian Wildcats,Nebraska,A,L,63,73
Abilene Christian Wildcats,UC-Riverside,H,L,56,60
Abilene Christian Wildcats,Texas Christian,A,L,69,80
Abilene Christian Wildcats,Drake,A,L,70,87
Abilene Christian Wildcats,Central Arkansas,A,W,62,61
Abilene Christian Wildcats,Nicholls State,A,L,62,63
Abilene Christian Wildcats,Northwestern State,H,W,87,72
Abilene Christian Wildcats,Stephen F. Austin,A,L,62,97
Abilene Christian Wildcats,McNeese State,H,W,75,67
Abilene Christian Wildcats,Incarnate Word,A,L,60,74
Abilene Christian Wildcats,Sam Houston State,A,L,51,72
Abilene Christian Wildcats,Lamar,H,W,80,71
Abilene Christian Wildcats,Houston Baptist,H,W,79,72
Abilene Christian Wildcats,Southeastern Louisiana,A,L,60,81
Abilene Christian Wildcats,Lamar,A,W,71,67
Abilene Christian Wildcats,Sam Houston State,H,L,71,84
Abilene Christian Wildcats,Houston Baptist,A,L,71,73
Abilene Christian Wildcats,Southeastern Louisiana,H,W,91,80
Abilene Christian Wildcats,Texas A&M-Corpus Christi,A,L,59,65
Abilene Christian Wildcats,New Orleans,H,W,87,84
Abilene Christian Wildcats,Incarnate Word,H,L,70,74
Abilene Christian Wildcats,Texas A&M-Corpus Christi,H,L,69,74
Air Force Falcons,Southern Illinois,A,L,75,77
Air Force Falcons,Tennessee Tech,H,W,80,70
Air Force Falcons,Mississippi Valley State,H,W,65,64
Air Force Falcons,Robert Morris,H,W,64,52
Air Force Falcons,Colorado,A,L,70,81
Air Force Falcons,New Mexico State,H,W,66,64
Air Force Falcons,Citadel,H,W,97,93
Air Force Falcons,Denver,A,W,61,59
Air Force Falcons,Ohio State,A,L,50,74
Air Force Falcons,Army,H,L,80,90
Air Force Falcons,UC-Davis,A,W,67,60
Air Force Falcons,San Jose State,H,W,64,57
Air Force Falcons,Wyoming,A,L,52,64
Air Force Falcons,Nevada,H,L,63,86
Air Force Falcons,Utah State,A,L,60,79
Air Force Falcons,Nevada-Las Vegas,A,L,64,100
Air Force Falcons,Colorado State,H,L,79,83
Air Force Falcons,Fresno State,H,L,55,56
Air Force Falcons,New Mexico,A,L,55,84
Air Force Falcons,San Jose State,A,L,54,75
Air Force Falcons,Wyoming,H,W,70,62
Air Force Falcons,Boise State,H,W,61,53
Air Force Falcons,Nevada,A,L,52,72
Air Force Falcons,San Diego State,A,L,61,70
Air Force Falcons,Nevada-Las Vegas,H,W,79,74
Air Force Falcons,New Mexico,H,W,76,72
Air Force Falcons,Fresno State,A,L,63,64
Air Force Falcons,Utah State,H,L,65,78
Air Force Falcons,Colorado State,A,L,73,87
Air Force Falcons,Nevada-Las Vegas,A,L,102,108
Akron Zips,Cleveland State,N,W,65,53
Akron Zips,Arkansas,A,W,88,80
Akron Zips,Villanova,A,L,56,75
Akron Zips,Green Bay,A,L,63,66
Akron Zips,Charleston Southern,H,W,82,58
Akron Zips,Coppin State,H,W,77,71
Akron Zips,Marshall,A,W,75,65
Akron Zips,Bethune-Cookman,H,W,81,60
Akron Zips,UC-Santa Barbara,N,W,84,70
Akron Zips,Iona,N,W,78,64
Akron Zips,South Carolina State,H,W,78,68
Akron Zips,Lipscomb,H,W,80,73
Akron Zips,Buffalo,A,W,75,71
Akron Zips,Western Michigan,H,W,62,53
Akron Zips,Central Michigan,A,L,81,92
Akron Zips,Toledo,A,L,64,78
Akron Zips,Eastern Michigan,H,W,92,88
Akron Zips,Miami (OH),H,W,75,46
Akron Zips,Northern Illinois,H,W,76,66
Akron Zips,Ball State,A,W,73,64
Akron Zips,Ohio,A,W,80,68
Akron Zips,Central Michigan,H,W,92,87
Akron Zips,Bowling Green State,A,W,83,68
Akron Zips,Northern Illinois,A,L,79,80
Akron Zips,Buffalo,H,W,80,70
Akron Zips,Kent State,A,L,76,85
Akron Zips,Miami (OH),A,L,64,77
Akron Zips,Bowling Green State,H,W,89,54
Akron Zips,Ohio,H,W,91,76
Akron Zips,Kent State,H,W,74,60
Akron Zips,Eastern Michigan,N,W,65,63
Akron Zips,Bowling Green State,N,W,80,66
Akron Zips,Buffalo,N,L,61,64
Akron Zips,Ohio State,A,L,63,72
Alabama A&M Bulldogs,Tulane,A,W,68,67
Alabama A&M Bulldogs,Southeast Missouri State,H,W,74,56
Alabama A&M Bulldogs,Jacksonville State,A,W,73,69
Alabama A&M Bulldogs,Murray State,A,L,61,63
Alabama A&M Bulldogs,Saint Louis,A,L,58,75
Alabama A&M Bulldogs,Western Kentucky,A,L,70,79
Alabama A&M Bulldogs,Evansville,A,L,70,91
Alabama A&M Bulldogs,Ball State,A,L,62,63
Alabama A&M Bulldogs,Grambling,A,L,78,81
Alabama A&M Bulldogs,Jackson State,A,L,66,67
Alabama A&M Bulldogs,Arkansas-Pine Bluff,H,W,85,70
Alabama A&M Bulldogs,Mississippi Valley State,H,L,73,79
Alabama A&M Bulldogs,Alabama State,A,W,80,75
Alabama A&M Bulldogs,Alcorn State,A,L,58,63
Alabama A&M Bulldogs,Southern,A,L,52,73
Alabama A&M Bulldogs,Prairie View,H,W,83,69
Alabama A&M Bulldogs,Texas Southern,H,L,66,71
Alabama A&M Bulldogs,Arkansas-Pine Bluff,A,W,71,66
Alabama A&M Bulldogs,Mississippi Valley State,A,L,64,66
Alabama A&M Bulldogs,Alabama State,H,L,68,74
Alabama A&M Bulldogs,Alcorn State,H,L,58,62
Alabama A&M Bulldogs,Southern,H,W,78,66
Alabama A&M Bulldogs,Texas Southern,A,L,54,77
Alabama A&M Bulldogs,Prairie View,A,L,65,85
Alabama A&M Bulldogs,Grambling,H,L,58,65
Alabama A&M Bulldogs,Jackson State,H,W,54,51
Alabama A&M Bulldogs,Arkansas-Pine Bluff,N,W,61,53
Alabama A&M Bulldogs,Texas Southern,N,L,69,77
Alabama Crimson Tide,Kennesaw State,H,W,77,64
Alabama Crimson Tide,Dayton,A,L,48,80
Alabama Crimson Tide,Louisiana-Lafayette,H,W,105,93
Alabama Crimson Tide,Xavier,N,L,45,64
Alabama Crimson Tide,Wichita State,N,W,64,60
Alabama Crimson Tide,Notre Dame,N,W,74,73
Alabama Crimson Tide,Southern Mississippi,A,W,58,55
Alabama Crimson Tide,Clemson,A,W,51,50
Alabama Crimson Tide,Winthrop,H,W,72,60
Alabama Crimson Tide,Oregon,N,L,68,72
Alabama Crimson Tide,Jacksonville State,H,W,67,59
Alabama Crimson Tide,Norfolk State,H,W,68,49
Alabama Crimson Tide,Mississippi,A,L,66,74
Alabama Crimson Tide,Kentucky,H,L,61,77
Alabama Crimson Tide,South Carolina,H,W,73,50
Alabama Crimson Tide,Vanderbilt,A,L,63,71
Alabama Crimson Tide,Auburn,A,L,77,83
Alabama Crimson Tide,Louisiana State,H,L,70,72
Alabama Crimson Tide,Tennessee,H,W,63,57
Alabama Crimson Tide,South Carolina,A,L,64,78
Alabama Crimson Tide,Mississippi State,A,W,82,80
Alabama Crimson Tide,Missouri,H,W,80,71
Alabama Crimson Tide,Texas A&M,H,W,63,62
Alabama Crimson Tide,Florida,A,W,61,55
Alabama Crimson Tide,Louisiana State,A,W,76,69
Alabama Crimson Tide,Mississippi State,H,L,61,67
Alabama Crimson Tide,Kentucky,A,L,53,78
Alabama Crimson Tide,Auburn,H,W,65,57
Alabama Crimson Tide,Arkansas,H,L,61,62
Alabama Crimson Tide,Georgia,A,L,63,70
Alabama Crimson Tide,Mississippi,N,W,81,73
Alabama Crimson Tide,Kentucky,N,L,59,85
Alabama Crimson Tide,Creighton,A,L,54,72
Alabama State Hornets,Virginia Tech,A,W,85,82
Alabama State Hornets,Alabama-Birmingham,A,L,70,72
Alabama State Hornets,Mercer,A,L,49,70
Alabama State Hornets,Chattanooga,N,L,58,95
Alabama State Hornets,Chicago State,N,W,66,64
Alabama State Hornets,Evansville,A,L,56,88
Alabama State Hornets,Jacksonville State,A,W,63,60
Alabama State Hornets,Elon,A,L,74,91
Alabama State Hornets,Coastal Carolina,A,L,65,68
Alabama State Hornets,Winthrop,A,L,84,92
Alabama State Hornets,Jackson State,A,L,61,68
Alabama State Hornets,Grambling,A,L,81,84
Alabama State Hornets,Mississippi Valley State,H,W,75,74
Alabama State Hornets,Arkansas-Pine Bluff,H,L,55,59
Alabama State Hornets,Alabama A&M,H,L,75,80
Alabama State Hornets,Southern,A,L,69,73
Alabama State Hornets,Alcorn State,A,L,72,77
Alabama State Hornets,Texas Southern,H,L,72,75
Alabama State Hornets,Prairie View,H,W,83,77
Alabama State Hornets,Mississippi Valley State,A,W,73,62
Alabama State Hornets,Arkansas-Pine Bluff,A,L,70,75
Alabama State Hornets,Alabama A&M,A,W,74,68
Alabama State Hornets,Southern,H,W,77,68
Alabama State Hornets,Alcorn State,H,W,73,60
Alabama State Hornets,Prairie View,A,W,73,68
Alabama State Hornets,Texas Southern,A,L,86,96
Alabama State Hornets,Jackson State,H,W,71,54
Alabama State Hornets,Grambling,H,W,59,58
Alabama State Hornets,Southern,N,L,63,83
Alabama-Birmingham Blazers,Auburn,A,L,74,75
Alabama-Birmingham Blazers,Alabama State,H,W,72,70
Alabama-Birmingham Blazers,Troy,A,W,79,63
Alabama-Birmingham Blazers,Jacksonville State,H,W,61,55
Alabama-Birmingham Blazers,Illinois,N,L,58,72
Alabama-Birmingham Blazers,Virginia Tech,N,L,77,82
Alabama-Birmingham Blazers,Georgia State,H,W,64,57
Alabama-Birmingham Blazers,Illinois State,A,W,74,61
Alabama-Birmingham Blazers,Seattle,H,W,79,73
Alabama-Birmingham Blazers,South Carolina Upstate,H,W,96,54
Alabama-Birmingham Blazers,South Florida,A,W,79,68
Alabama-Birmingham Blazers,Stephen F. Austin,H,W,76,66
Alabama-Birmingham Blazers,Middle Tennessee,H,W,78,67
Alabama-Birmingham Blazers,Texas-San Antonio,H,W,104,82
Alabama-Birmingham Blazers,Texas-El Paso,H,W,87,80
Alabama-Birmingham Blazers,Old Dominion,A,W,72,71
Alabama-Birmingham Blazers,Charlotte,A,W,74,72
Alabama-Birmingham Blazers,Rice,H,W,82,70
Alabama-Birmingham Blazers,North Texas,H,W,78,57
Alabama-Birmingham Blazers,Western Kentucky,A,L,62,69
Alabama-Birmingham Blazers,Marshall,A,W,81,78
Alabama-Birmingham Blazers,Florida International,H,W,74,69
Alabama-Birmingham Blazers,Florida Atlantic,H,W,104,67
Alabama-Birmingham Blazers,Southern Mississippi,A,W,80,77
Alabama-Birmingham Blazers,Louisiana Tech,A,L,76,85
Alabama-Birmingham Blazers,Middle Tennessee,A,W,77,67
Alabama-Birmingham Blazers,Marshall,H,W,95,91
Alabama-Birmingham Blazers,Western Kentucky,H,W,71,67
Alabama-Birmingham Blazers,Florida International,A,W,77,60
Alabama-Birmingham Blazers,Florida Atlantic,A,W,73,70
Alabama-Birmingham Blazers,Western Kentucky,N,L,77,88
Alabama-Birmingham Blazers,Brigham Young,A,L,79,97
Albany (NY) Great Danes,Kentucky,A,L,65,78
Albany (NY) Great Danes,Boston University,A,L,64,69
Albany (NY) Great Danes,Colgate,H,W,88,67
Albany (NY) Great Danes,South Florida,A,L,61,63
Albany (NY) Great Danes,NJIT,H,W,74,73
Albany (NY) Great Danes,Yale,H,W,88,54
Albany (NY) Great Danes,Quinnipiac,A,W,58,54
Albany (NY) Great Danes,Holy Cross,A,W,88,84
Albany (NY) Great Danes,Marist,A,W,75,53
Albany (NY) Great Danes,Siena,A,L,70,78
Albany (NY) Great Danes,Saint Francis (PA),H,W,65,58
Albany (NY) Great Danes,Niagara,H,W,65,56
Albany (NY) Great Danes,St. Francis (NY),A,W,71,66
Albany (NY) Great Danes,Cornell,A,W,75,70
Albany (NY) Great Danes,Maryland-Baltimore County,H,W,73,59
Albany (NY) Great Danes,Vermont,A,W,69,57
Albany (NY) Great Danes,New Hampshire,H,W,80,75
Albany (NY) Great Danes,Maine,A,L,79,81
Albany (NY) Great Danes,Binghamton,H,W,80,59
Albany (NY) Great Danes,Stony Brook,A,L,63,69
Albany (NY) Great Danes,Massachusetts-Lowell,H,W,75,63
Albany (NY) Great Danes,Hartford,A,W,86,60
Albany (NY) Great Danes,Maryland-Baltimore County,A,W,79,73
Albany (NY) Great Danes,Vermont,H,W,75,71
Albany (NY) Great Danes,Binghamton,A,W,69,56
Albany (NY) Great Danes,New Hampshire,A,L,68,69
Albany (NY) Great Danes,Maine,H,W,108,64
Albany (NY) Great Danes,Stony Brook,H,W,82,70
Albany (NY) Great Danes,Massachusetts-Lowell,A,W,86,61
Albany (NY) Great Danes,Hartford,H,W,75,59
Albany (NY) Great Danes,Hartford,H,L,59,68
Albany (NY) Great Danes,Ohio,A,L,90,94
Alcorn State Braves,Grand Canyon,A,L,46,79
Alcorn State Braves,Texas-El Paso,A,L,66,88
Alcorn State Braves,Portland,A,L,65,97
Alcorn State Braves,Oakland,N,L,51,84
Alcorn State Braves,Florida A&M,N,L,71,73
Alcorn State Braves,Indiana,A,L,70,112
Alcorn State Braves,Mercer,A,L,43,68
Alcorn State Braves,Tennessee State,N,L,76,81
Alcorn State Braves,Tennessee-Martin,A,L,47,70
Alcorn State Braves,Prairie View,A,W,73,70
Alcorn State Braves,Texas Southern,A,L,58,74
Alcorn State Braves,Jackson State,H,L,71,80
Alcorn State Braves,Grambling,H,W,69,53
Alcorn State Braves,Mississippi Valley State,A,W,93,87
Alcorn State Braves,Arkansas-Pine Bluff,A,W,73,65
Alcorn State Braves,Alabama A&M,H,W,63,58
Alcorn State Braves,Alabama State,H,W,77,72
Alcorn State Braves,Southern,A,L,64,75
Alcorn State Braves,Jackson State,A,W,72,64
Alcorn State Braves,Grambling,A,W,66,63
Alcorn State Braves,Mississippi Valley State,H,W,72,71
Alcorn State Braves,Arkansas-Pine Bluff,H,W,79,60
Alcorn State Braves,Alabama A&M,A,W,62,58
Alcorn State Braves,Alabama State,A,L,60,73
Alcorn State Braves,Southern,H,W,70,56
Alcorn State Braves,Prairie View,H,W,81,64
Alcorn State Braves,Texas Southern,H,L,66,76
Alcorn State Braves,Mississippi Valley State,N,L,61,64
American Eagles,Rhode Island,A,L,42,65
American Eagles,Hampton,H,L,48,61
American Eagles,Saint Francis (PA),A,L,48,68
American Eagles,Virginia Commonwealth,A,L,44,72
American Eagles,New Hampshire,A,W,68,50
American Eagles,Mount St. Mary's,A,L,56,81
American Eagles,Youngstown State,A,W,60,56
American Eagles,Wagner,A,L,48,55
American Eagles,Stony Brook,H,L,68,86
American Eagles,Maryland-Eastern Shore,H,L,64,79
American Eagles,Louisiana State,A,L,51,79
American Eagles,Loyola (MD),A,L,67,75
American Eagles,Colgate,H,L,37,56
American Eagles,Bucknell,A,L,54,72
American Eagles,Lehigh,H,L,50,65
American Eagles,Boston University,H,L,50,61
American Eagles,Army,A,L,45,65
American Eagles,Lafayette,A,W,81,73
American Eagles,Navy,A,W,63,58
American Eagles,Colgate,A,W,54,49
American Eagles,Holy Cross,H,W,58,45
American Eagles,Bucknell,H,W,69,55
American Eagles,Lehigh,A,L,49,72
American Eagles,Boston University,A,L,51,71
American Eagles,Army,H,L,59,65
American Eagles,Lafayette,H,W,60,59
American Eagles,Holy Cross,A,W,71,70
American Eagles,Navy,H,W,72,65
American Eagles,Loyola (MD),H,W,67,66
American Eagles,Boston University,A,W,69,64
American Eagles,Lehigh,A,L,62,78
Appalachian State Mountaineers,Jacksonville,H,W,76,68
Appalachian State Mountaineers,Furman,H,L,70,79
Appalachian State Mountaineers,Hampton,A,L,61,82
Appalachian State Mountaineers,Tulane,A,L,48,76
Appalachian State Mountaineers,Liberty,N,W,73,62
Appalachian State Mountaineers,Mercer,N,L,70,71
Appalachian State Mountaineers,Stephen F. Austin,N,L,84,94
Appalachian State Mountaineers,Hofstra,N,L,80,86
Appalachian State Mountaineers,Texas,A,L,55,67
Appalachian State Mountaineers,Charlotte,H,L,66,82
Appalachian State Mountaineers,North Carolina,A,L,70,94
Appalachian State Mountaineers,Louisiana-Monroe,A,L,56,72
Appalachian State Mountaineers,Louisiana-Lafayette,A,L,58,79
Appalachian State Mountaineers,Texas-Arlington,H,L,67,71
Appalachian State Mountaineers,Texas State,H,W,76,56
Appalachian State Mountaineers,Arkansas-Little Rock,A,L,55,81
Appalachian State Mountaineers,Arkansas State,A,W,86,72
Appalachian State Mountaineers,Georgia State,H,W,76,67
Appalachian State Mountaineers,Georgia Southern,H,L,100,101
Appalachian State Mountaineers,Troy,A,W,75,71
Appalachian State Mountaineers,South Alabama,A,L,60,73
Appalachian State Mountaineers,Louisiana-Lafayette,H,L,76,87
Appalachian State Mountaineers,Louisiana-Monroe,H,L,90,91
Appalachian State Mountaineers,Texas State,A,L,68,69
Appalachian State Mountaineers,Texas-Arlington,A,L,60,91
Appalachian State Mountaineers,South Alabama,H,L,71,75
Appalachian State Mountaineers,Troy,H,W,78,74
Appalachian State Mountaineers,Georgia Southern,A,L,63,88
Appalachian State Mountaineers,Georgia State,A,L,70,83
Appalachian State Mountaineers,Arkansas-Little Rock,H,W,69,63
Appalachian State Mountaineers,Arkansas State,H,W,80,73
Arizona State Sun Devils,Sacramento State,H,L,63,66
Arizona State Sun Devils,Belmont,H,W,83,74
Arizona State Sun Devils,Kennesaw State,H,W,91,53
Arizona State Sun Devils,North Carolina State,N,W,79,76
Arizona State Sun Devils,Marquette,N,L,73,78
Arizona State Sun Devils,UC-Santa Barbara,H,W,70,68
Arizona State Sun Devils,Creighton,A,W,79,77
Arizona State Sun Devils,Texas A&M,H,W,67,54
Arizona State Sun Devils,Kentucky,A,L,58,72
Arizona State Sun Devils,Nevada-Las Vegas,A,W,66,56
Arizona State Sun Devils,Houston Baptist,H,W,98,79
Arizona State Sun Devils,Stephen F. Austin,H,W,80,73
Arizona State Sun Devils,Cal State Bakersfield,H,W,75,59
Arizona State Sun Devils,Arizona,H,L,82,94
Arizona State Sun Devils,Southern California,A,L,65,75
Arizona State Sun Devils,UCLA,A,L,74,81
Arizona State Sun Devils,Washington State,H,W,84,73
Arizona State Sun Devils,Washington,H,L,85,89
Arizona State Sun Devils,University of California,A,L,70,75
Arizona State Sun Devils,Stanford,A,L,73,75
Arizona State Sun Devils,Oregon State,H,W,86,68
Arizona State Sun Devils,Oregon,H,L,74,91
Arizona State Sun Devils,Washington,A,L,83,95
Arizona State Sun Devils,Washington State,A,W,67,55
Arizona State Sun Devils,Southern California,H,W,74,67
Arizona State Sun Devils,UCLA,H,L,65,78
Arizona State Sun Devils,Arizona,A,L,61,99
Arizona State Sun Devils,Utah,A,L,46,81
Arizona State Sun Devils,Colorado,A,L,69,79
Arizona State Sun Devils,Stanford,H,W,74,64
Arizona State Sun Devils,University of California,H,L,65,68
Arizona State Sun Devils,Oregon State,N,L,66,75
Arizona Wildcats,Pacific,H,W,79,61
Arizona Wildcats,Bradley,H,W,90,60
Arizona Wildcats,Boise State,H,W,88,76
Arizona Wildcats,Northwestern State,H,W,61,42
